iso2;iso3;isonr;language;name
FR;FRA;250;eu;Basque
FR;FRA;250;frp;Arpitan, Francoprovençal
FR;FRA;250;oc;Occitan (post 1500)
GA;GAB;266;fr-GA;French (GA)
GB;GBR;826;en-GB;English (GB)
GB;GBR;826;cy-GB;Welsh
GB;GBR;826;gd;Gaelic\Scottish Gaelic
GD;GRD;308;en-GD;English (GD)
GE;GEO;268;ka;Georgian
GE;GEO;268;ru;Russian
GE;GEO;268;hy;Armenian
GE;GEO;268;az;Azerbaijani
GF;GUF;254;fr-GF;French (GF)
GG;GGY;831;en;English
GG;GGY;831;fr;French
GH;GHA;288;en-GH;English (GH)
GH;GHA;288;ak;Akan
GH;GHA;288;ee;Ewe
GH;GHA;288;tw;Twi
GI;GIB;292;en-GI;English (GI)
GI;GIB;292;es;Spanish\Castilian
GI;GIB;292;it;Italian
GI;GIB;292;pt;Portuguese
GL;GRL;304;kl;Kalaallisut\Greenlandic
GL;GRL;304;da-GL;Danish (GL)
GL;GRL;304;en;English
GM;GMB;270;en-GM;English (GM)
GM;GMB;270;wo;Wolof
GM;GMB;270;ff;Fulah
GM;GMB;270;mnk;Mandinka
GM;GMB;270;wof;Gambian Wolof
GN;GIN;324;fr-GN;French (GN)
GP;GLP;312;fr-GP;French (GP)
GQ;GNQ;226;es-GQ;Spanish\Castilian (GQ)
GQ;GNQ;226;fr;French
GR;GRC;300;el-GR;Greek, Modern
GR;GRC;300;en;English
GR;GRC;300;fr;French
GS;SGS;239;en;English
GT;GTM;320;es-GT;Spanish\Castilian (GT)
GU;GUM;316;ch-GU;Chamorro (GU)
GU;GUM;316;en-GU;English (GU)
GW;GNB;624;pt-GW;Portuguese (GW)
GW;GNB;624;pov;Upper Guinea Crioulo
GY;GUY;328;en-GY;English (GY)
HK;HKG;344;zh-HK;Chinese (HK)
HK;HKG;344;yue;Yue Chinese
HK;HKG;344;zh;Chinese
HK;HKG;344;en;English
HN;HND;340;es-HN;Spanish\Castilian (HN)
HR;HRV;191;hr-HR;Croatian
HR;HRV;191;sr;Serbian
HT;HTI;332;fr-HT;French (HT)
HT;HTI;332;ht;Haitian Creole
HU;HUN;348;hu-HU;Hungarian
ID;IDN;360;id;Indonesian
ID;IDN;360;en;English
ID;IDN;360;nl;Dutch
ID;IDN;360;jv;Javanese
IE;IRL;372;en-IE;English (IE)
IE;IRL;372;ga-IE;Irish
IL;ISR;376;he;Hebrew
IL;ISR;376;ar-IL;Arabic (IL)
IL;ISR;376;en-IL;English (IL)
IM;IMN;833;en;English
IM;IMN;833;gv;Manx
IN;IND;356;bh;Bihari languages
IN;IND;356;doi;Dogri
IN;IND;356;en-IN;English (IN)
IN;IND;356;hi;Hindi
IN;IND;356;bn;Bengali
IN;IND;356;te;Telugu
IN;IND;356;mr;Marathi
IN;IND;356;ta;Tamil
IN;IND;356;ur;Urdu
IN;IND;356;gu;Gujarati
IN;IND;356;kn;Kannada
IN;IND;356;ml;Malayalam
IN;IND;356;or;Oriya
IN;IND;356;pa;Panjabi\Punjabi
IN;IND;356;as;Assamese
IN;IND;356;sat;Santali
IN;IND;356;ks;Kashmiri
IN;IND;356;ne;Nepali
IN;IND;356;sd;Sindhi
IN;IND;356;kok;Konkani (macrolanguage)
IN;IND;356;mni;Manipuri
IN;IND;356;fr;French
IN;IND;356;inc;Indic languages
IN;IND;356;lus;Lushai
IN;IND;356;sa;Sanskrit
IN;IND;356;sit;Sino-Tibetan languages
IO;IOT;86;en-IO;English (IO)
IQ;IRQ;368;ar-IQ;Arabic (IQ)
IQ;IRQ;368;ku;Kurdish
IQ;IRQ;368;hy;Armenian
IR;IRN;364;fa-IR;Persian (IR)
IR;IRN;364;ku;Kurdish
IS;ISL;352;is;Icelandic
IS;ISL;352;en;English
IS;ISL;352;de;German
IS;ISL;352;da;Danish
IS;ISL;352;sv;Swedish
IS;ISL;352;no-IS;Norwegian (IS)
IT;ITA;380;co_IT;Corsican (FR)
IT;ITA;380;fr-IT;French (IT)
IT;ITA;380;it-IT;Italian
IT;ITA;380;de-IT;German (IT)
IT;ITA;380;ca;Catalan\Valencian
IT;ITA;380;sl;Slovenian
IT;ITA;380;sc;Sardinian
JE;JEY;832;en;English
JE;JEY;832;pt;Portuguese
JM;JAM;388;en-JM;English (JM)
JO;JOR;400;ar-JO;Arabic (JO)
JO;JOR;400;en;English
JP;JPN;392;ja;Japanese
KE;KEN;404;en-KE;English (KE)
KE;KEN;404;sw-KE;Swahili (KE)
KG;KGZ;417;ky;Kirghiz\Kyrgyz
KG;KGZ;417;uz;Uzbek
KG;KGZ;417;ru;Russian
KH;KHM;116;km;Central Khmer
KH;KHM;116;fr;French
KH;KHM;116;en;English
KI;KIR;296;gil;Gilbertese
KI;KIR;296;en-KI;English (KI)
KM;COM;174;ar;Arabic
